RequestType,RequestID,RequestedDateText,OrganisationEntered,Cost_GBP,DepartmentID,Priority,CompletedDateText
Delivery enquiry,CH-03-00288,2026-03-29,Adventure Works Retail 039,83.70,D062,High,2026-04-01
Warranty claim,CH-03-00289,2026-03-16,Fabrikam Digital 046,472.80,D082,Normal,2026-03-22
Technical support,CH-03-00290,2026-03-24,Contoso Research 053,230.60,D078,High,2026-03-28
Product return,CH-03-00291,2026-03-11,Northwind Logistics 060,275.70,D085,Normal,2026-03-18
Delivery enquiry,CH-03-00292,2026-03-02,Adventure Works Analytics 067,428.60,D095,High,2026-03-07
Account access,CH-03-00293,2026-03-18,Fabrikam Services 074,191.50,D010,Normal,2026-03-26
Technical support,CH-03-00294,2026-03-24,Contoso Retail 081,110.80,D010,Normal,2026-04-02
Warranty claim,CH-03-00295,2026-03-20,Northwind Digital 088,651.80,D016,High,2026-03-23
Warranty claim,CH-03-00296,2026-03-12,Adventure Works Research 095,175.10,D058,High,2026-03-17
Account access,CH-03-00297,2026-03-10,Fabrikam Logistics 102,413.50,D106,High,2026-03-13
Technical support,CH-03-00298,2026-03-06,Contoso Analytics 109,699.40,D064,Normal,2026-03-11
Warranty claim,CH-03-00299,2026-03-07,Northwind Services 116,376.70,D088,Normal,2026-03-14
Product return,CH-03-00300,2026-03-02,Adventure Works Retail 123,805.00,D029,High,2026-03-04
Account access,CH-03-00301,2026-03-12,Fabrikam Digitl 130,629.60,D031,High,2026-03-13
Warranty claim,CH-03-00302,2026-03-23,Contoso Research 137,107.10,D066,Normal,2026-03-25
Account access,CH-03-00303,2026-03-22,Northwind Logistics 144,243.40,D065,Normal,2026-03-30
Account access,CH-03-00304,2026-03-17,Adventure Works Analytics 151,34.60,D081,Normal,2026-03-28
Product return,CH-03-00305,2026-03-20,Fabrikam Services 158,379.20,D053,Normal,
Warranty claim,CH-03-00306,2026-03-31,Contoso Retial 165,343.10,D052,High,2026-04-02
Technical support,CH-03-00307,2026-03-27,Northwind Digital 172,646.20,D017,High,2026-04-01
Warranty claim,CH-03-00308,2026-03-05,Adventure Works Research 179,817.60,D070,Normal,2026-03-14
Technical support,CH-03-00309,2026-03-31,Fabrikam Logistics 186,389.50,D052,Normal,2026-04-07
Product return,CH-03-00310,2026-03-29,Contoso Analytics 193,357.30,D096,High,2026-04-08
Warranty claim,CH-03-00311,2026-03-08,Unregistered Partner 20,789.80,D049,Normal,2026-03-19
Warranty claim,CH-03-00312,2026-03-10,Adventure Works Retail 207,252.30,D070,Normal,2026-03-17
Warranty claim,CH-03-00313,2026-03-12,Fabrikam Digital 214,264.50,D081,High,2026-03-17
Delivery enquiry,CH-03-00314,2026-03-23,University of Oxford,143.30,D034,Normal,2026-04-02
Delivery enquiry,CH-03-00315,2026-03-08,Adventure Works UK,572.90,D103,Normal,2026-03-20
Technical support,CH-03-00316,2026-03-27,Adventure Works Retial 015,559.20,D061,Normal,2026-03-31
Product return,CH-03-00317,2026-03-11,Fabrikam Digital 022,577.30,D010,Normal,2026-03-16
Product return,CH-03-00318,2026-03-30,Contoso Research 029,132.40,D085,High,2026-04-04
Delivery enquiry,CH-03-00319,2026-03-20,Northwind Logistics 036,737.60,D012,Normal,2026-03-29
Technical support,CH-03-00320,2026-03-30,Adventure Works Analytics 043,180.20,D075,Normal,2026-04-09
Technical support,CH-03-00321,2026-03-19,Fabrikam Srvcs 050,54.20,D024,Normal,2026-03-22
Product return,CH-03-00322,2026-03-28,Contoso Retail 057,836.70,D005,Normal,2026-04-06
Technical support,CH-03-00323,2026-03-09,Northwind Digital 064,318.80,D076,Normal,2026-03-17
Technical support,CH-03-00324,2026-03-18,Adventure Works Research 071,622.20,D045,Normal,
Warranty claim,CH-03-00325,2026-03-26,Fabrikam Logistics 078,407.80,D002,High,2026-04-02
Product return,CH-03-00326,2026-03-09,Contoso Analytcs 085,649.70,D065,High,2026-03-19
Delivery enquiry,CH-03-00327,2026-03-29,Northwind Services 092,450.80,D041,Normal,2026-04-09
Account access,CH-03-00328,2026-03-15,Adventure Works Retail 099,405.40,D029,High,2026-03-27
Technical support,CH-03-00329,2026-03-07,Fabrikam Digital 106,425.10,D073,Normal,2026-03-12
Delivery enquiry,CH-03-00330,2026-03-19,Contoso Research 113,652.90,D061,High,2026-03-30
Account access,CH-03-00331,2026-03-22,Northwind Logistics 120,549.90,D092,High,2026-03-26
Account access,CH-03-00332,2026-03-20,Adventure Works Analytics 127,55.40,D071,Normal,2026-03-26
Warranty claim,CH-03-00333,2026-03-07,Fabrikam Services 134,82.80,D076,High,2026-03-14
Product return,CH-03-00334,2026-03-04,Contoso Retail 141,558.00,D073,Normal,2026-03-13
Warranty claim,CH-03-00335,2026-03-29,Northwind Digital 148,818.50,D031,High,2026-03-30
Account access,CH-03-00336,2026-03-23,Adventure Works Research 155,11.60,D015,Normal,2026-03-25
Product return,CH-03-00337,2026-03-15,Fabrikam Logistics 162,500.90,D087,High,2026-03-16
Warranty claim,CH-03-00338,2026-03-31,Contoso Analytics 169,505.90,D065,High,2026-04-12
Account access,CH-03-00339,2026-03-01,Northwind Services 176,526.40,D005,High,2026-03-07
Account access,CH-03-00340,2026-03-08,Adventure Works Retail 183,372.00,D028,Normal,2026-03-12
Account access,CH-03-00341,2026-03-11,Fabrikam Digitl 190,718.60,D087,High,2026-03-17
Warranty claim,CH-03-00342,2026-03-28,Unregistered Partner 17,422.00,D102,High,2026-03-31
Technical support,CH-03-00343,2026-03-15,Northwind Logistics 204,465.70,D057,Normal,
Technical support,CH-03-00344,2026-03-06,Adventure Works Analytics 211,326.90,D024,High,2026-03-15
Account access,CH-03-00345,2026-03-31,Fabrikam Services 218,339.60,D065,High,2026-04-08
Warranty claim,CH-03-00346,2026-03-25,Contoso Oxford Trdg,51.40,D069,High,2026-04-03
Delivery enquiry,CH-03-00347,2026-03-15,Northwind Logistics 012,561.40,D096,Normal,2026-03-17
Technical support,CH-03-00348,2026-03-08,Adventure Works Analytics 019,410.30,D048,Normal,2026-03-17
Warranty claim,CH-03-00349,2026-03-26,Fabrikam Services 026,671.80,D007,High,2026-04-06
Warranty claim,CH-03-00350,2026-03-26,Contoso Retail 033,448.40,D096,High,2026-03-31
Account access,CH-03-00351,2026-03-05,Northwind Digitl 040,153.20,D108,High,2026-03-13
Product return,CH-03-00352,2026-03-31,Adventure Works Research 047,543.00,D029,High,2026-04-10
Warranty claim,CH-03-00353,2026-03-12,Fabrikam Logistics 054,762.80,D007,Normal,2026-03-17
Product return,CH-03-00354,2026-03-13,Contoso Analytics 061,227.80,D101,Normal,2026-03-22
Delivery enquiry,CH-03-00355,2026-03-12,Northwind Services 068,353.80,D070,Normal,2026-03-24
Warranty claim,CH-03-00356,2026-03-11,Adventure Works Retial 075,178.80,D095,Normal,2026-03-14
Technical support,CH-03-00357,2026-03-11,Fabrikam Digital 082,260.70,D057,High,2026-03-15
Product return,CH-03-00358,2026-03-27,Contoso Research 089,608.90,D054,High,2026-03-28
Technical support,CH-03-00359,2026-03-23,Northwind Logistics 096,792.70,D025,Normal,2026-03-24
Warranty claim,CH-03-00360,2026-03-04,Adventure Works Analytics 103,376.00,D073,High,2026-03-14
Warranty claim,CH-03-00361,2026-03-13,Fabrikam Srvcs 110,428.90,D047,High,2026-03-14
Delivery enquiry,CH-03-00362,2026-03-16,Contoso Retail 117,642.80,D086,High,
Technical support,CH-03-00363,2026-03-06,Northwind Digital 124,671.60,D036,Normal,2026-03-10
Delivery enquiry,CH-03-00364,2026-03-14,Adventure Works Research 131,668.90,D011,Normal,2026-03-18
Product return,CH-03-00365,2026-03-21,Fabrikam Logistics 138,604.30,D025,Normal,2026-03-31
Account access,CH-03-00366,2026-03-13,Contoso Analytcs 145,15.70,D096,Normal,2026-03-21
Account access,CH-03-00367,2026-03-09,Northwind Services 152,81.00,D084,High,2026-03-15
Warranty claim,CH-03-00368,2026-03-09,Adventure Works Retail 159,102.50,D062,Normal,2026-03-12
Delivery enquiry,CH-03-00369,2026-03-29,Fabrikam Digital 166,225.50,D051,High,2026-04-03
Technical support,CH-03-00370,2026-03-29,Contoso Research 173,577.50,D093,High,2026-03-30
Technical support,CH-03-00371,2026-03-29,Northwind Logistics 180,593.80,D029,High,2026-04-05
Delivery enquiry,CH-03-00372,2026-03-13,Adventure Works Analytics 187,467.10,D001,Normal,2026-03-17
Account access,CH-03-00373,2026-03-09,Unregistered Partner 14,829.30,D015,Normal,2026-03-15
Delivery enquiry,CH-03-00374,2026-03-21,Contoso Retail 201,828.70,D106,High,2026-03-27
Technical support,CH-03-00375,2026-03-15,Northwind Digital 208,725.10,D007,High,2026-03-17
Product return,CH-03-00376,2026-03-26,Adventure Works Research 215,615.60,D011,Normal,2026-03-30
Product return,CH-03-00377,2026-03-08,University of Cambridge,266.40,D030,High,2026-03-16
Warranty claim,CH-03-00378,2026-03-28,Contoso Retail 009,257.70,D069,High,2026-04-03
Product return,CH-03-00379,2026-03-14,Northwind Digital 016,691.80,D104,High,2026-03-24
Product return,CH-03-00380,2026-03-24,Adventure Works Research 023,100.60,D046,Normal,2026-04-04
Technical support,CH-03-00381,2026-03-27,Fabrikam Logistics 030,478.00,D002,Normal,
Product return,CH-03-00382,2026-03-04,Contoso Analytics 037,100.00,D079,Normal,2026-03-07
Account access,CH-03-00383,2026-03-19,Northwind Services 044,130.80,D030,High,2026-03-31
Technical support,CH-03-00384,2026-03-01,Adventure Works Retail 051,700.70,D022,High,2026-03-05
Technical support,CH-03-00385,2026-03-25,Fabrikam Digital 058,114.90,D005,Normal,2026-04-04
Product return,CH-03-00386,2026-03-10,Contoso Research 065,565.60,D096,Normal,2026-03-11
Product return,CH-03-00387,2026-03-01,Northwind Logistics 072,25.10,D109,High,2026-03-13
Product return,CH-03-00388,2026-03-13,Adventure Works Analytics 079,728.80,D009,Normal,2026-03-17
Technical support,CH-03-00389,2026-03-13,Fabrikam Services 086,587.90,D051,Normal,2026-03-16
Warranty claim,CH-03-00390,2026-03-03,Contoso Retail 093,794.80,D056,High,2026-03-15
Account access,CH-03-00391,2026-03-17,Northwind Digitl 100,343.60,D110,Normal,2026-03-24
Account access,CH-03-00392,2026-03-20,Adventure Works Research 107,139.30,D003,Normal,2026-03-23
Delivery enquiry,CH-03-00393,2026-03-29,Fabrikam Logistics 114,631.20,D040,High,2026-04-01
Product return,CH-03-00394,2026-03-05,Contoso Analytics 121,798.00,D045,Normal,2026-03-11
Product return,CH-03-00395,2026-03-05,Northwind Services 128,359.80,D104,High,2026-03-13
Warranty claim,CH-03-00396,2026-03-18,Adventure Works Retial 135,126.20,D036,Normal,2026-03-26
Warranty claim,CH-03-00397,2026-03-29,Fabrikam Digital 142,763.20,D006,Normal,2026-04-06
Delivery enquiry,CH-03-00398,2026-03-04,Contoso Research 149,487.90,D066,High,2026-03-07
Technical support,CH-03-00399,2026-03-23,Northwind Logistics 156,232.00,D042,Normal,2026-04-02
Warranty claim,CH-03-00400,2026-03-21,Adventure Works Analytics 163,480.50,D071,Normal,
Technical support,CH-03-00401,2026-03-11,Fabrikam Srvcs 170,156.60,D059,High,2026-03-22
Technical support,CH-03-00402,2026-03-18,Contoso Retail 177,29.40,D093,Normal,2026-03-25
Technical support,CH-03-00403,2026-03-09,Northwind Digital 184,299.30,D093,High,2026-03-11
Product return,CH-03-00404,2026-03-26,Unregistered Partner 11,807.70,D092,High,2026-04-07
Product return,CH-03-00405,2026-03-22,Fabrikam Logistics 198,539.80,D030,High,2026-04-01
Technical support,CH-03-00406,2026-03-12,Contoso Analytcs 205,550.00,D082,High,2026-03-22
Delivery enquiry,CH-03-00407,2026-03-22,Northwind Services 212,657.40,D039,Normal,2026-03-24
Delivery enquiry,CH-03-00408,2026-03-21,Adventure Works Retail 219,848.60,D045,Normal,2026-03-27
Product return,CH-03-00409,2026-03-18,Contoso Oxford Traders,445.60,D085,Normal,2026-03-25
Account access,CH-03-00410,2026-03-13,Contoso Analytics 013,66.50,D091,High,2026-03-20
Warranty claim,CH-03-00411,2026-03-18,Northwind Srvcs 020,341.70,D112,Normal,2026-03-30
Account access,CH-03-00412,2026-03-24,Adventure Works Retail 027,83.90,D095,Normal,2026-03-30
Product return,CH-03-00413,2026-03-24,Fabrikam Digital 034,570.20,D048,High,2026-04-03
Warranty claim,CH-03-00414,2026-03-23,Contoso Research 041,207.10,D001,Normal,2026-03-30
Warranty claim,CH-03-00415,2026-03-31,Northwind Logistics 048,565.20,D094,High,2026-04-07
Product return,CH-03-00416,2026-03-15,Adventure Works Analytcs 055,538.80,D026,Normal,2026-03-23
Technical support,CH-03-00417,2026-03-23,Fabrikam Services 062,560.60,D087,High,2026-03-24
Product return,CH-03-00418,2026-03-20,Contoso Retail 069,424.70,D102,High,2026-03-22
Technical support,CH-03-00419,2026-03-26,Northwind Digital 076,583.30,D008,High,
Warranty claim,CH-03-00420,2026-03-17,Adventure Works Research 083,667.60,D051,High,2026-03-18
Delivery enquiry,CH-03-00421,2026-03-17,Fabrikam Logistics 090,191.40,D053,High,2026-03-22
Technical support,CH-03-00422,2026-03-24,Contoso Analytics 097,352.30,D068,High,2026-03-26
Delivery enquiry,CH-03-00423,2026-03-25,Northwind Services 104,618.70,D106,Normal,2026-04-02
Product return,CH-03-00424,2026-03-10,Adventure Works Retail 111,324.30,D056,High,2026-03-11
Account access,CH-03-00425,2026-03-25,Fabrikam Digital 118,687.20,D042,Normal,2026-04-02
Product return,CH-03-00426,2026-03-29,Contoso Research 125,828.10,D016,Normal,2026-03-31
Technical support,CH-03-00427,2026-03-29,Northwind Logistics 132,478.20,D095,Normal,2026-04-05
Account access,CH-03-00428,2026-03-24,Adventure Works Analytics 139,107.20,D080,High,2026-04-04
Warranty claim,CH-03-00429,2026-03-26,Fabrikam Services 146,93.70,D101,Normal,2026-03-29
Product return,CH-03-00430,2026-03-10,Contoso Retail 153,509.40,D077,High,2026-03-12
Product return,CH-03-00431,2026-03-05,Northwind Digitl 160,812.40,D014,Normal,2026-03-06
Delivery enquiry,CH-03-00432,2026-03-30,Adventure Works Research 167,587.90,D045,High,2026-04-04
Account access,CH-03-00433,2026-03-05,Fabrikam Logistics 174,674.30,D049,Normal,2026-03-17
Delivery enquiry,CH-03-00434,2026-03-28,Contoso Analytics 181,276.20,D007,High,2026-04-06
Account access,CH-03-00435,2026-03-11,Unregistered Partner 08,671.20,D058,Normal,2026-03-19
Delivery enquiry,CH-03-00436,2026-03-02,Adventure Works Retial 195,778.00,D081,Normal,2026-03-12
Account access,CH-03-00437,2026-03-16,Fabrikam Digital 202,478.50,D068,High,2026-03-21
Delivery enquiry,CH-03-00438,2026-03-02,Contoso Research 209,710.00,D108,High,
Technical support,CH-03-00439,2026-03-09,Northwind Logistics 216,236.30,D005,High,2026-03-13
Product return,CH-03-00440,2026-03-18,Imperial College London,97.30,D097,High,2026-03-27
Account access,CH-03-00441,2026-03-29,Fabrikam Digitl 010,516.00,D112,High,2026-04-10
Technical support,CH-03-00442,2026-03-24,Contoso Research 017,775.00,D029,High,2026-04-03
Delivery enquiry,CH-03-00443,2026-03-09,Northwind Logistics 024,462.90,D065,High,2026-03-16
Account access,CH-03-00444,2026-03-08,Adventure Works Analytics 031,523.00,D042,Normal,2026-03-19
Delivery enquiry,CH-03-00445,2026-03-02,Fabrikam Services 038,631.20,D027,High,2026-03-04
Delivery enquiry,CH-03-00446,2026-03-15,Contoso Retial 045,286.30,D056,High,2026-03-24
Product return,CH-03-00447,2026-03-15,Northwind Digital 052,796.00,D103,Normal,2026-03-20
Technical support,CH-03-00448,2026-03-01,Adventure Works Research 059,334.20,D017,High,2026-03-08
Warranty claim,CH-03-00449,2026-03-26,Fabrikam Logistics 066,535.30,D007,Normal,2026-04-01
Delivery enquiry,CH-03-00450,2026-03-05,Contoso Analytics 073,72.10,D103,Normal,2026-03-06
Warranty claim,CH-03-00451,2026-03-01,Northwind Srvcs 080,543.70,D090,Normal,2026-03-11
Product return,CH-03-00452,2026-03-11,Adventure Works Retail 087,36.20,D092,Normal,2026-03-16
Warranty claim,CH-03-00453,2026-03-19,Fabrikam Digital 094,231.90,D059,Normal,2026-03-21
Warranty claim,CH-03-00454,2026-03-26,Contoso Research 101,771.30,D079,High,2026-04-07
Product return,CH-03-00455,2026-03-14,Northwind Logistics 108,546.80,D079,Normal,2026-03-23
Account access,CH-03-00456,2026-03-23,Adventure Works Analytcs 115,220.10,D084,Normal,2026-03-26
Product return,CH-03-00457,2026-03-13,Fabrikam Services 122,479.00,D111,Normal,
Technical support,CH-03-00458,2026-03-05,Contoso Retail 129,592.30,D070,Normal,2026-03-15
Technical support,CH-03-00459,2026-03-28,Northwind Digital 136,455.60,D019,Normal,2026-04-02
Warranty claim,CH-03-00460,2026-03-29,Adventure Works Research 143,734.70,D049,Normal,2026-04-01
Warranty claim,CH-03-00461,2026-03-02,Fabrikam Logistics 150,844.10,D011,Normal,2026-03-14
Warranty claim,CH-03-00462,2026-03-03,Contoso Analytics 157,45.50,D077,Normal,2026-03-10
Technical support,CH-03-00463,2026-03-04,Northwind Services 164,519.70,D062,Normal,2026-03-13
Product return,CH-03-00464,2026-03-20,Adventure Works Retail 171,657.40,D041,Normal,2026-03-26
Account access,CH-03-00465,2026-03-11,Fabrikam Digital 178,185.40,D048,Normal,2026-03-14
Delivery enquiry,CH-03-00466,2026-03-14,Unregistered Partner 05,705.10,D102,Normal,2026-03-17
Product return,CH-03-00467,2026-03-22,Northwind Logistics 192,388.70,D011,High,2026-03-29
Account access,CH-03-00468,2026-03-24,Adventure Works Analytics 199,299.00,D079,Normal,2026-03-28
Product return,CH-03-00469,2026-03-27,Fabrikam Services 206,605.90,D104,High,2026-04-07
Delivery enquiry,CH-03-00470,2026-03-07,Contoso Retail 213,289.20,D033,Normal,2026-03-17
Warranty claim,CH-03-00471,2026-03-11,Northwind Digitl 220,193.70,D047,Normal,2026-03-23
Technical support,CH-03-00472,2026-03-25,Fabrikam Retail Group,559.50,D030,Normal,2026-04-03
Warranty claim,CH-03-00473,2026-03-14,Fabrikam Services 014,657.50,D036,Normal,2026-03-19
Technical support,CH-03-00474,2026-03-06,Contoso Retail 021,558.50,D004,High,2026-03-13
Account access,CH-03-00475,2026-03-17,Northwind Digital 028,352.20,D094,High,2026-03-19
Product return,CH-03-00476,2026-03-29,Adventure Works Research 035,107.40,D088,High,
Technical support,CH-03-00477,2026-03-28,Fabrikam Logistics 042,315.20,D100,High,2026-04-03
Delivery enquiry,CH-03-00478,2026-03-26,Contoso Analytics 049,456.80,D049,High,2026-04-06
Account access,CH-03-00479,2026-03-09,Northwind Services 056,95.40,D096,Normal,2026-03-17
Warranty claim,CH-03-00480,2026-03-23,Adventure Works Retail 063,335.20,D072,High,2026-03-28
Warranty claim,CH-03-00481,2026-03-06,Fabrikam Digitl 070,250.10,D011,High,2026-03-14
Warranty claim,CH-03-00482,2026-03-29,Contoso Research 077,523.80,D039,Normal,2026-04-07
Warranty claim,CH-03-00483,2026-03-06,Northwind Logistics 084,481.60,D011,Normal,2026-03-18
Account access,CH-03-00484,2026-03-25,Adventure Works Analytics 091,821.10,D098,High,2026-04-04
Delivery enquiry,CH-03-00485,2026-03-13,Fabrikam Services 098,595.70,D030,Normal,2026-03-15
Account access,CH-03-00486,2026-03-16,Contoso Retial 105,379.00,D101,Normal,2026-03-24
Account access,CH-03-00487,2026-03-06,Northwind Digital 112,488.80,D024,Normal,2026-03-09
Account access,CH-03-00488,2026-03-29,Adventure Works Research 119,503.30,D091,High,2026-04-02
Delivery enquiry,CH-03-00489,2026-03-25,Fabrikam Logistics 126,579.20,D069,High,2026-03-29
Product return,CH-03-00490,2026-03-26,Contoso Analytics 133,777.20,D075,Normal,2026-03-28
Technical support,CH-03-00491,2026-03-03,Northwind Srvcs 140,738.70,D080,High,2026-03-05
Technical support,CH-03-00492,2026-03-10,Adventure Works Retail 147,35.20,D063,Normal,2026-03-18
Account access,CH-03-00493,2026-03-10,Fabrikam Digital 154,579.70,D014,High,2026-03-13
Warranty claim,CH-03-00494,2026-03-09,Contoso Research 161,399.50,D001,Normal,2026-03-15
Technical support,CH-03-00495,2026-03-12,Northwind Logistics 168,582.30,D052,Normal,
Account access,CH-03-00496,2026-03-19,Adventure Works Analytcs 175,629.30,D072,High,2026-03-21
Account access,CH-03-00497,2026-03-03,Unregistered Partner 02,432.00,D021,Normal,2026-03-06
Account access,CH-03-00498,2026-03-27,Contoso Retail 189,841.10,D084,High,2026-03-31
Account access,CH-03-00499,2026-03-05,Northwind Digital 196,763.90,D040,Normal,2026-03-07
Warranty claim,CH-03-00500,2026-03-09,Adventure Works Research 203,304.60,D039,High,2026-03-19
Warranty claim,CH-03-00501,2026-03-09,Fabrikam Logistics 210,439.30,D096,High,2026-03-21
Warranty claim,CH-03-00502,2026-03-07,Contoso Analytics 217,122.40,D103,Normal,2026-03-09
Warranty claim,CH-03-00503,2026-03-31,Oxford University Press,349.10,D110,High,2026-04-04
Product return,CH-03-00504,2026-03-05,Adventure Works Research 011,651.10,D059,High,2026-03-07
Technical support,CH-03-00505,2026-03-24,Fabrikam Logistics 018,749.80,D022,High,2026-04-03
Delivery enquiry,CH-03-00506,2026-03-28,Contoso Analytcs 025,785.60,D106,High,2026-04-02
Technical support,CH-03-00507,2026-03-28,Northwind Services 032,821.50,D044,High,2026-04-06
Delivery enquiry,CH-03-00508,2026-03-18,Adventure Works Retail 039,410.50,D003,Normal,2026-03-22
Warranty claim,CH-03-00509,2026-03-15,Fabrikam Digital 046,665.40,D082,High,2026-03-23
Product return,CH-03-00510,2026-03-31,Contoso Research 053,298.50,D047,Normal,2026-04-08
Delivery enquiry,CH-03-00511,2026-03-23,Northwind Logistics 060,122.20,D067,High,2026-03-27
Delivery enquiry,CH-03-00512,2026-03-24,Adventure Works Analytics 067,18.60,D015,High,2026-03-26
Product return,CH-03-00513,2026-03-14,Fabrikam Services 074,117.50,D107,High,2026-03-24
Warranty claim,CH-03-00514,2026-03-05,Contoso Retail 081,542.50,D061,Normal,
Warranty claim,CH-03-00515,2026-03-15,Northwind Digital 088,809.60,D012,High,2026-03-24
Technical support,CH-03-00516,2026-03-07,Adventure Works Research 095,532.70,D104,High,2026-03-19
Product return,CH-03-00517,2026-03-10,Fabrikam Logistics 102,440.90,D061,High,2026-03-20
Delivery enquiry,CH-03-00518,2026-03-06,Contoso Analytics 109,370.20,D024,High,2026-03-17
Warranty claim,CH-03-00519,2026-03-02,Northwind Services 116,163.80,D021,Normal,2026-03-12
Account access,CH-03-00520,2026-03-14,Adventure Works Retail 123,530.40,D045,Normal,2026-03-17
Product return,CH-03-00521,2026-03-13,Fabrikam Digitl 130,466.40,D051,Normal,2026-03-20
Delivery enquiry,CH-03-00522,2026-03-21,Contoso Research 137,182.60,D096,High,2026-03-28
Warranty claim,CH-03-00523,2026-03-26,Northwind Logistics 144,356.90,D106,High,2026-04-05
Product return,CH-03-00524,2026-03-05,Adventure Works Analytics 151,481.10,D105,High,2026-03-10
Technical support,CH-03-00525,2026-03-01,Fabrikam Services 158,568.10,D075,High,2026-03-11
Technical support,CH-03-00526,2026-03-08,Contoso Retial 165,59.80,D087,Normal,2026-03-20
Delivery enquiry,CH-03-00527,2026-03-20,Northwind Digital 172,629.00,D015,Normal,2026-03-27
Delivery enquiry,CH-03-00528,2026-03-05,Unregistered Partner 89,261.50,D098,High,2026-03-17
Product return,CH-03-00529,2026-03-06,Fabrikam Logistics 186,761.90,D078,High,2026-03-08
Product return,CH-03-00530,2026-03-16,Contoso Analytics 193,461.40,D109,Normal,2026-03-26
Technical support,CH-03-00531,2026-03-27,Northwind Srvcs 200,652.40,D082,Normal,2026-03-30
Product return,CH-03-00532,2026-03-22,Adventure Works Retail 207,19.70,D106,Normal,2026-03-29
Account access,CH-03-00533,2026-03-25,Fabrikam Digital 214,121.60,D059,Normal,
Technical support,CH-03-00534,2026-03-01,University of Oxford,433.40,D001,Normal,2026-03-11
Delivery enquiry,CH-03-00535,2026-03-20,Adventure Works UK,536.80,D071,High,2026-03-25
Account access,CH-03-00536,2026-03-01,Adventure Works Retial 015,186.50,D086,Normal,2026-03-12
Product return,CH-03-00537,2026-03-13,Fabrikam Digital 022,772.80,D054,Normal,2026-03-16
Product return,CH-03-00538,2026-03-09,Contoso Research 029,43.80,D086,High,2026-03-17
Product return,CH-03-00539,2026-03-25,Northwind Logistics 036,369.90,D110,High,2026-04-02
Warranty claim,CH-03-00540,2026-03-23,Adventure Works Analytics 043,673.30,D074,Normal,2026-03-29
Delivery enquiry,CH-03-00541,2026-03-27,Fabrikam Srvcs 050,136.50,D051,Normal,2026-03-31
Technical support,CH-03-00542,2026-03-05,Contoso Retail 057,580.90,D073,Normal,2026-03-11
Delivery enquiry,CH-03-00543,2026-03-15,Northwind Digital 064,75.30,D089,Normal,2026-03-19
Technical support,CH-03-00544,2026-03-04,Adventure Works Research 071,787.20,D105,High,2026-03-12
Technical support,CH-03-00545,2026-03-02,Fabrikam Logistics 078,227.70,D112,High,2026-03-03
Warranty claim,CH-03-00546,2026-03-13,Contoso Analytcs 085,167.40,D031,High,2026-03-18
Account access,CH-03-00547,2026-03-29,Northwind Services 092,604.40,D021,Normal,2026-04-04
Account access,CH-03-00548,2026-03-13,Adventure Works Retail 099,555.90,D092,High,2026-03-22
Delivery enquiry,CH-03-00549,2026-03-01,Fabrikam Digital 106,332.00,D027,High,2026-03-07
Technical support,CH-03-00550,2026-03-10,Contoso Research 113,186.10,D101,Normal,2026-03-20
Account access,CH-03-00551,2026-03-01,Northwind Logistics 120,247.70,D097,High,2026-03-04
Product return,CH-03-00552,2026-03-22,Adventure Works Analytics 127,370.40,D018,High,
Delivery enquiry,CH-03-00553,2026-03-23,Fabrikam Services 134,721.20,D035,Normal,2026-04-02
Account access,CH-03-00554,2026-03-17,Contoso Retail 141,215.80,D026,Normal,2026-03-22
Warranty claim,CH-03-00555,2026-03-03,Northwind Digital 148,190.50,D042,High,2026-03-13
Technical support,CH-03-00556,2026-03-27,Adventure Works Research 155,527.00,D020,High,2026-04-03
Technical support,CH-03-00557,2026-03-28,Fabrikam Logistics 162,606.30,D022,High,2026-03-29
Account access,CH-03-00558,2026-03-05,Contoso Analytics 169,700.00,D103,Normal,2026-03-11
Product return,CH-03-00559,2026-03-25,Unregistered Partner 86,32.60,D040,Normal,2026-03-30
Warranty claim,CH-03-00560,2026-03-15,Adventure Works Retail 183,572.50,D022,Normal,2026-03-21
Account access,CH-03-00561,2026-03-04,Fabrikam Digitl 190,514.60,D083,Normal,2026-03-16
Technical support,CH-03-00562,2026-03-08,Contoso Research 197,774.80,D075,Normal,2026-03-12
Technical support,CH-03-00563,2026-03-09,Northwind Logistics 204,826.60,D007,High,2026-03-21
Delivery enquiry,CH-03-00564,2026-03-13,Adventure Works Analytics 211,736.20,D068,Normal,2026-03-21
Warranty claim,CH-03-00565,2026-03-27,Fabrikam Services 218,48.30,D104,Normal,2026-04-01
Product return,CH-03-00566,2026-03-22,Contoso Oxford Trdg,639.70,D087,High,2026-04-01
Warranty claim,CH-03-00567,2026-03-25,Northwind Logistics 012,16.30,D062,Normal,2026-04-05
Account access,CH-03-00568,2026-03-13,Adventure Works Analytics 019,98.60,D020,Normal,2026-03-25
Technical support,CH-03-00569,2026-03-12,Fabrikam Services 026,809.80,D109,Normal,2026-03-19
Technical support,CH-03-00570,2026-03-19,Contoso Retail 033,582.00,D079,High,2026-03-29
Warranty claim,CH-03-00571,2026-03-28,Northwind Digitl 040,531.90,D037,High,
Delivery enquiry,CH-03-00572,2026-03-04,Adventure Works Research 047,778.60,D011,Normal,2026-03-08
Warranty claim,CH-03-00573,2026-03-03,Fabrikam Logistics 054,750.80,D078,High,2026-03-04
